number,short_description,Class,description
INC0793641,Delivery Subscription,P,
INC0793541,Customer being charged for delivery,P,"Issue: Customer being charged for delivery even when the Delivery subscription was bought on 7th July' 2019. the account is in mainframe.
Customer Number: P0653011
Website: JD Williams
contact: 0214080223"
INC0793103,Delivery Pass needs removing on orders SUPRA DBA REQ,R,Please can the delivery pass be removed from the attached Staff Accounts? Thank you
INC0792473,Customer Number- Q5745532,P,
INC0791461,Delivery Subscription not working,P,"Brian reported that one of  the customer took a delivery subscription on 31st March 2019,but it's not applicable right now
Please check as there is still time fro the subscription to be cancelled
Subscribed Date--31st march 2019
Customer Number--K6404790
Website--jdwilliams
Contact--0815303806"
INC0791140,Annual delivery pass cancelled.,R,Please can the annual delivery pass service be removed from customers account A0654679. Thanks!
INC0791135,Delivery pass needs removing on Staff Account orders. SUPRA DBA REQ,R,Please can the delivery pass be removed form the attached Staff Accounts? Thanks!
INC0790422,Delivery subscription not working for orders,P,"Jenna called and reported that a Mainframe Based Customer purchased a delivery subscription for 1 year but it still charging the delivery amount on the order..
Customer No: Y2506613
Website: JDWilliams
Amount : £9.95
Delivery Subscription Purchase date: 20th Dec
Contact No: 3506
"
INC0790378,TASK0137680 -  Remove staff privileges from his staff account E8042559,O,Agent Jeffrey Swift OXJXS no longer works for Oxendales Ireland please remove staff privileges from his staff account E8042559 asap.
INC0790128,Getting charged for delivery,P,"Short Description: Getting charged for delivery
Fault: Angela called in and reported an issue that customer has subscribed for free delivery subscription but still getting charged when Customer places the order today. Kindly assist. 
Error Message: NA
Affected People:  1
Contact Number (With country code): 3913
Customer Number: T1164235
Website: Fashion World
"
INC0789893,Delivery Subscription is not working,P,"Delivery Subscription is not working on Mainframe based customer. Customer already purchased the delivery subscription for 1 year but its not getting applied on the order. Kindly Assist
Customer No: W6378674
Website: JDWilliams
Amount: £9.95 for one year
Contact no: +27 0214080223

"
INC0789809,Issue with delivery subscription,P,"Short Description: Issue with delivery subscriptions
Fault:  Latisha called in and reported an issue that Customer purchased unlimited delivery subscriptions for 9 pounds 95 pence in February month but when customer is going to place the order it is charging Customer for delivery subscriptions. Kindly Assist.
Error Message: NA
Affected People:  1
Contact Number (With country code): 3620
Customer Number: K2189258
Website: JD Williams
"
INC0789262,Delivery pass needs removing on Staff Accounts SUPRA DBA Req,R,Please can the delivery pass be removed from the following Staff Accounts?  Thank you
INC0788860,Delivery subasciption issue.,P,"Fault : Shammi called in to report that a customer is being charged for the delivery even after purchasing the delivery subscription. Kindly check on it. 
Customer number : T8235416
Purchase date : 25th February
Order number : 2070259, 2471346
Item no : yb144sg
Contact : 3746"
INC0788330,RE: Z3425297 Annual Delivery Charge,P,
INC0787814,Delivery Pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thank you
INC0787080,Website/Web Shop issues,P,"Short Description: Delivery Subscription purchased but was 3 Pound 50 Pens for standard delivery charge. She wants to get it activated. The account is in mainframe.
Affected People: 01
Contact Number (With country code): +27-214800223
Customer Number: Q0937294
Website: Simply Be
Verified email address (In case of password issue): kimmentha1412@hotmail.com"
INC0786284,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,"Please can the delivery pass be removed from this staff account please?
Acc Number Z6279554"
INC0785823,X8426166 - Delivery Pass,P,Hi The customer took the £9.95 delivery subscription out on 20th November 2019 but is still being charged delivey.  Please advise.  Thanks Peter
INC0784605,S1905074 - Delivery Subscription,P,The customer keeps being charged for delivery even though she took out the Del Sub on 07.07.2019.  Please rectify.  Thanks Peter
INC0783884,Delivery Pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thank You
INC0781648,Customer getting charged for delivery after delivery subscription,P,"Sashnee  reported that a Customer is getting charged for delivery after purchasing the delivery subscription.
Customer No: Y0297505
Website: JDWilliams
Amount : £9.95 for an year
Purchase Date: 3rd Nov, 2019
Contact No: +27 0813407765"
INC0780929,Haven't received the delivery pass,P,"Issue: Customer purchased the delivery pass on 10th March 2019 but haven't received it till now.
Item number: RV139
Order number: 9658407
Customer number: F1595396
Contact number: 3521
Website: JDWilliams
"
INC0779849,issue with delivery subscriptions,P,
INC0779381,I4505902,P,"From: Rebecca Connolly <Rebecca.Connolly@nbrown.co.uk>
Sent: 31 January 2020 03:24 PM
To: Serviceline <serviceline@jdwilliams.co.uk>
Subject: I4505902
 
Good afternoon,
I have a query from a customer regarding their delivery subscription as they are still being charged for delivery. Please can you check as to whether it needs activating?

Thank you in advance.

Rebecca Connolly

Proactive Notification Team

Mobile: +44 (0)773 990 2504
Reception: +44 (0)161 236 8256

 





Griffin House
40 Lever St
Manchester
M60 6ES
www.nbrown.co.uk

 

 

N Brown is a top 10 UK clothing & footwear digital retailer. Our key retail brands are JD Williams, Simply Be, Jacamo and Ambrose Wilson.

 

"
INC0779242,Delivery pass needs removing from Staff Account orders SUPRA DBA REQ.,R,Please can the attached annual delivery pass be removed from the attached Staff Accounts? Thank you!
INC0776815,Customer charged even after adding delivery subscription,P,"Angela reported that the customer applied a delivery subscription to the order, but is still being charged for it. Please assist.
Order no: 9456719
Customer no: h2080698
website: simplybe 
contact: 3544"
INC0775606,Customer account issue,P,"Angela called in to report that one of the customer is getting charged for delivery despite taking the delivery subscription
Please assist
Subscription Taken--995 pounds
Customer Number--L9609774
Website--jdwilliams
Contact Number--3544"
INC0775236,Customer No U6006542,P,
INC0775066,Delivery pass needs removing on Staff Accounts SUPRA DBA Req,R,Please can the Delivery Pass be removed from the attached Staff Accounts? Thank You
INC0774907,Customer being chargd for delivery.,P,"Fault : Jean called in to report that a customer has bought delivery subscription but still being charged for delivery. Kindly assist.
Purchasing date : 28th July 2019
Customer number : P9955249
Order number : 1613277, 1022488, 9903921, 9418300, 8004821
Browser : Safari
Device : Ipad Pro
Contact : 3657"
INC0774806,Issue with delivery subscriptions,P,"Fault:- Nikitha called in and reported an issue that one of her customer has the free delivery subscriptions but whenever Customer is placing the order it is charging Customer for delivery. Customer have tried in different browser but still same problem. Kindly assist.
Customer Account number:- T3535222
Nikitha contact:- 021 408 0223
Websites:- JD Williams"
INC0774697,Delivery Sub not working,P,
INC0774488,customer charged even after the delivery pass,P,"
Short Description:Lorraine called in to report that the customer bought a delivery pass 
-but still when customer placed an order he is been charged with the delivery charges 

order no.: 6674480

Contact Number: 3620

customer id r9383707

website simply be

date of purchase :13th Sept 2019
date of charges flashing on her account  : 15th Sept 2019
validity :14th Sept 2020"
INC0774234,Customer Y2806373,P,
INC0772295,Free Delivery subscription issue.,P,"Fault : Moegamat called in to report that a customers free delivery subscription is active still the customer is getting charged for delivery. Kindly check on the account. 
Customer number : J6231278
Website : Simply be
Order number : 1168655
Browser : Google chrome
Contact : +27-0214080223"
INC0772073,Getting charged even after getting yearly subscription.,P,"Issue: She is getting charged for posting even though paid yearly subscription for 999/-.
Customer Number: Z3052559
Website: Simple Be
ext: 3620"
INC0772046,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,Please can the delivery pass be removed form the attached Staff Accounts? Thanks!
INC0771803,delivery subscription issue,P,"Fault : David called in to report that a customer has bought delivery subscription but every time she orders something, it charges her for the delivery. Kindly check o it. 
Customer number : G1042075
Date of buying : 2nd  November 2019
Date of Expiry : 1st November 2020
order number : 8496797
Contact : 3506"
INC0770868,please remove delivery subscription,R,Please can you remove the delivery pass from Staff  account U7929670.
INC0770697,Customer is getting charged every month for unsubscription of services,P,"Issue: Chris Ritchie called in to report that customer had done a subscription on her account 12 months back and unsubscribed it but still she is getting charged for every month i.e., 995 pounds
Item number: RV139FN
Customer number: G5159819
Contact number: 3913
Website: JDWilliams"
INC0768878,getting charged for delivery,P,"Short Description:  louise reported that a customers has purchased the delivery subscription of 9.95 pound but she is still getting charged for every delivery  of order she places.  
Error Message: NA
Affected People: 1
Contact Number:  3620
Customer no- G4617317

Website- Marisota 
"
INC0768413,Customer charged for delivery.,P,"Jacqueline reported that the delivery subscription was added to the customer's account on 10th Nov, 2019. But even after that the customer is being charged for the items purchased. Please assist.
Order :rv139dm
Customer : v0335262
Website: simplybe
Contact: 3537"
INC0768271,Customer charged for next day delivery,P,"Ashley reported that the customer has a delivery subscription purchased, for which she has free delivery on the next day deliveries for the orders.
But while placing orders, she is still charged for next day delivery, or even the standard delivery. Please check.
Order no: 0992826 
Customer no: k8301239
Website: fashion world
Contact: 3567"
INC0768067,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ.,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0767515,V9686850,P,
INC0766994,R1366089,P,
INC0764626,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thank you
INC0762390,Delivery Pass,R,"From: PNT Work Requests <PNT.WorkRequests@jdwilliams.co.uk>
Sent: 06 December 2019 03:57 PM
To: Serviceline <serviceline@jdwilliams.co.uk>
Cc: Claire Wrigley <claire.wrigley@nbrown.co.uk>
Subject: Delivery Pass
 
Hi 

Please can you remove the delivery pass from the following Staff accounts, as they are not eligible to have this product.


H0500353
S2269811
A4243151
X7080185
I9879781
D6348484
Z6275452
Q0912991
Thanks
Anita Coles - L450

Proactive Notificaiton Team

Team Manager - Claire Wrigley"
INC0760779,customer being charged for delivery,P,"Issue: customer being charged for delivery, even when they have the Delivery pass, have refunded the previous order but the new order has been placed and wanted to check before it comes through that Delivery won't be charged. 
Customer Number: G1568370
Website: Simple Be
Order Number: 9303015
ext: 3620"
INC0759452,Delivery Pass,R,"PNT Work Requests
Fri 29/11/2019 02:40 PM
Hi

Please can you cancel the delivery pass on the following accounts, as these are staff accounts and are not eligible for this product;

G7901072
Q7573503
S0805353
H3582621
O3428892
A7928800

Thanks for your help.

Anita Coles - L450

Team Manager  - Claire Wrigley

Proactive Notification Team
"
INC0758972,customer bought delivery passage but still paying for the delivery,P,"Short Description: Simon called in to report that the customer bought a delivery passage for 9 pounds but when she ordered she is not able to use that passage and whatever she is ordering the total amount includes the delivery charges as well which should not be applied once she has the delivery passage  
Error : there is no delivery passage option showing on her payment page 
Affected People:  1
order no.: 9373849
Diagnosis :Simon called in instantly once he analysed the whole scenario 
Contact Number: 3544
customer id : n6302564
website : jdwilliams 
date the customer bought the delivery passage  : 10th November , 
placed order on : 22nd Nov 
delivery date  : 23rd Nov"
INC0758467,Delivery subscription,P,"Rebecca Connolly
Wed 27/11/2019 01:05 PM
Hello, I have a customer who purchased the delivery subscription on the 27th October.

This has not been activated and the customer is still being charged for delivery.

Her customer account number is J8551415.

Thanks

Rebecca Connolly

Proactive Notification Team

Mobile: +44 (0)773 990 2504
Reception: +44 (0)161 236 8256

 



Griffin House

40 Lever St
Manchester
M60 6ES
www.nbrown.co.uk

 

 

N Brown is a top 10 UK clothing & footwear digital retailer. Our key retail brands are JD Williams, Simply Be, Jacamo and Ambrose Wilson."
INC0758018,Customer being charged for delivery.,P,"Fault : Sandra  called in to report that a customer bought a delivery subscription for standard delivery but still she is being charged every time for the delivery. Below mentioned are all the ordes which are placed after she bought the subscription for free delivery. Kindly check and refund the extra amount that she has been charged. 
Customer number : D0345138
Order  number :  8942149, 9030040, 9335621, 9522137
Purchase date : 29th of September
Contact : 3657, 3506"
INC0756810,Delivery Pass,P,
INC0754616,issue with Delivery subscription,P,"Fault:- Ana called in and reported an issue that one of her customer is already paid for free delivery subscriptions but Customer still getting charged for delivery Kindly Assist
Customer Account number:- Y9196549
Ana contact:- 3544
Websites:- Jacamo
Order number:- 89919370
"
INC0754200,Delivery subscription issue.,P,"Fault : Sabina Khan called in to report that a customer has bought delivery subscription of standard delivery fr next day but still the customer is getting charged for the delivery. Kindly assist.
Purchase date : 10th of November, 2019
Expiry date : 10th of November, 2020
Customer number : F9377454
Website : Jacamo
Contact : 3913"
INC0754000,Q7788734,P,"From: Olivia Orwa <Olivia.Orwa@nbrown.co.uk>
Sent: 14 November 2019 02:23 PM
To: Serviceline <serviceline@jdwilliams.co.uk>
Cc: Claire Wrigley <claire.wrigley@nbrown.co.uk>; Lesley Veevers <Lesley.Veevers@nbrown.co.uk>
Subject: RE: Q7788734
 
Hi All,

Please can you help me. The customer is not able to use the Annual delivery pass purchased in April. Please can you advise me whether this is active as the customer is having to still pay for her delivery charges.

Kind Regards
Liv

Olivia Orwa
Global Customer Care Team

 

Reception: +44 (0)161 236 8256

 








Griffin House
40 Lever St
Manchester
M60 6ES
www.nbrown.co.uk

 

 

N Brown is a top 10 UK clothing & footwear digital retailer. Our key retail brands are JD Williams, Simply Be, Jacamo and Ambrose Wilson.

 

"
INC0753328,Delivery pass error,P,"Ann called in to report that one of the customer is unable to apply the delivery pass purchased on 18th January and valid for 1 year,when she trying to place the order the delivery pass feature doesn't work
Delivery pass purchased for 995 pounds
Customer Number--K1081801
Website--jdwilliams
Contact Number--3657"
INC0753268,Delivery Sub - L0413477,P,Customer took out del sub on 10.02.19 but is still being charged delivery. Please resolve.
INC0752762,Customer Number X5085607,P,
INC0752412,N2478023 - Delivery Pass,P,Hi Customer is still getting charged for delivery even though she took pass out on 29.09.19.  If you could resolve please.  Thanks Peter
INC0751395,Delivery Passes Cancellations,P,
INC0751014,Delivery Subscription not working,P,"Fault : Denise Ford called in to report that a customer is trying to place an order through her account and she has purchased the delivery subscription for free delivery but whenever she tries to place an order it asks her to pay for delivery.
Customer number : A9143198
Date of purchase : 29th of September.
Website : JD Williams
Contact : 3553"
INC0749923,Customer being charged after having one year delivery subscription,P,"Fiaz called in to report that a customer has purchased one year delivery subscription applied on mainframe , But still getting charges on every delivery . Kindly assist
Date of Delivery pass applied: 27th July
Customer No: P7958236
Website: JDWilliams
Contact No: 3913"
INC0749846,REMOVE DELIVERY PASS,P,
INC0749493,Delivery pass,P,
INC0749486,Customer purchase free delivery subscription but still getting delivery charges,P,"Sefali called and reported that a customer purchased a free delivery subscription for an year for his account but he is still getting charges on every delivery. Kindly Check and assist.
Amount Paid for Subscription: £9.95
Customer No: U0735136
Website: Simply Be
Contact No: 3657
"
INC0747691,"Customer being charged for delivery, previously purchased delivery subscription.",P,"Customer purchased 12 month delivery subscription RV139 17/02/19, still being charged for delivery. Please can you activate free delivery. Thanks! "
INC0746218,Delivery pass needs removing on Staff Accounts SUPRA DBA REQ,R,Please can the delivery subscription be removed from the attached Staff Accounts. Thanks!
INC0743416,Delivery pass needs removing on Staff Accounts SUPRA DBA REQ,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0741508,Delivery Pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thank you
INC0739888,Customer charged for delivery,P,"Glen reported that the customer purchased the free delivery pass in 12th May,2019 but she is still being charged 3.50 pound for the orders. Kindly assist. 
customer no: b7683499
website: jdwilliams
contact: 3544"
INC0739042,delivery subscription issue,P,"Short Description: Bernie  reported that the customer is getting charged even when she has free delivery subscription. 
Error Message:NA
Affected People:1
Contact Number:  3620
Customer no- Y3981889

Website- jdwilliams"
INC0738820,Customer is being charged for delivery even if they have delivery pass,P,"Issue: Customer is being charged for delivery even if they have delivery pass so kindly check and refund if it hadn't be refunded yet.
Customer Number: Z0209915
website: JD Williams
Order Number: 7401722
ext: 3602"
INC0738800,Charged for delivery.,P,"Fault : Piara Begum called in to report that a customer has re-bought a delivery subscription which was bought on 15th of September but when she is trying to place order it is charging her  for he delivery. Kindly check on it.
Customer number  :S0715910
Website : Simply be
Contact : 3829"
INC0736368,Unable to renew free delivery subscription,E,"Short Description: Unable to renew free delivery subscription
Diagnosis (Application session restarted before raising incidents) : Customer unable to renew the free delivery subscription, and also unable to edit the address for the same.
Contact Number: 3913
Customer: L1855482
Website: JDWilliams"
INC0736135,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,Please can the delivery pass be removed from the attached Staff Accounts. Thank you!
INC0734757,P7228536,E,"From: Lesley Veevers <Lesley.Veevers@nbrown.co.uk>
Sent: 23 September 2019 06:32 PM
To: Serviceline <serviceline@jdwilliams.co.uk>
Subject: P7228536
 
Hi

The above customer can not add the delivery subscription to her account.  I have looked at the account today to remove any delivery subscription and currently there is none. Previously in June, we have requested that this is activated and it has not been. Please can you look into this and advise me further.

Regards
Lesley


Lesley Veevers
Global Customer Care

 



1505139576528_image002.png
 
Griffin House
40 Lever St
Manchester
M60 6ES
www.nbrown.co.uk

 

 

An expert in fashion that fits and flatters, N Brown is one of the UK's leading online retailers. Our key retail brands are JD Williams, Simply Be and Jacamo.

 

"
INC0733776,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req.,R,Hi please can the delivery pass be removed from the attached Staff Accounts? Thank you!
INC0732528,Delivery pass not applicable,P,"Short Description: Delivery pass not applicable
Diagnosis (Application session restarted before raising incidents) : Customer bought a delivery pass. But when buying anything, customer is still getting charged for delivery. Kindly assist.
Contact Number: 3829
Customer Number: Z7439325
Delivery Pass: RV139FN
Website: JDWilliams"
INC0731358,Delivery Pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thank you
INC0730720,Reinstated the Delivery supplement,P,"Fault:- Stewart called in and reported that Stewart wants to reinstated the Delivery supplement on Customer's account so that customer will not have to pay any delivery charges. Kindly assist. 
Customer Account number:- C9455058
Stewart's manager contact:- 3938
Websites:- JD Williams
"
INC0729597,Free delivery promo-code not applicable,P,"Short Description: Free delivery promo-code not applicable
Error Message: NA
Affected People: 1
Diagnosis (Application session restarted before raising incidents) : Customer bought a free delivery promo-code on 14th July to make the delivery charges free of cost. But the delivery charges are still applicable. Kindly assist.
Contact Number: 3603
Customer Number: T2546877
Website: JDWilliams
Promo code: RV139
Promo code buy date: 14th of July"
INC0729467,Delivery Subscription not working,P,"Short Description: Delivery Subscription not working
Diagnosis: Karen called in to report that  a delivery subscription is not working for a customer, The customer has delivery subscription of one year but she is  still getting charged for every order. Please assist.  
Customer Id: F6892712
Account: jdwillims
Error Message: na
Affected People: 1
Contact Number: 3913"
INC0729309,Customer being charged for delivery,P,"Customer O6947626 purchased delivery aubscription RV139FM 28/07/19. She is still being charged deliver, please can you activate delivery subscription. Thank you! "
INC0729226,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,Please can the delivery pass be removed from the attached Staff Accounts. Thank you!
INC0726289,Customer charged for delivery of orders,P,"Aida reported that the customer has a free delivery subscription which is valid for one year, but she is still being charged for each delivery of the orders. Please check.
Customer no: u1042533
Date of buying subscription: 28th jan, 2019
Website: simplybe
Contact: 3913"
INC0725967,Customer charged even after free delivery pass,P,"Chris reported that the customer purchased a free delivery pass for 9.99 pounds, but every time she places an order it charges her for the delivery.
The advisors have to then refund the charged amount everytime. Kindly look into it.
Date of purchase: over 6 months now.
Customer no: u9051790
Website: simplybe
Contact: 3592"
INC0725451,Customer paid for postage even after getting free delivery pass.,P,"Customers Number: Q8800140
Website: JD Williams
Issue: customer have already paid delivery pass on13 th August. It should 12 month free delivery. She placed prder on 15th August and was charged postage. She has refunded her but now
ext: 3603"
INC0725313,Getting charged for delivery even with delivery pass,P,"Sharon reported that one of the customer got a delivery pass for one year on 17th august but every time she's trying to place an order she's getting charged for it
Customer Number--S0114453
Website--simplybe
Contact Number--01612383603(Jackie;manager's name)"
INC0724161,Issue with Delivery subscription,P,"Short Description: Issue with Delivery subscription
Diagnosis: Arron called in to report that for a customer her free delivery subscription is not working, she was getting charged for delivery so the team canceled it at their end to enable it again but it did not got cancelled at customers end and its not working as well. Please assist. 
Customer Id: J7184614
Account: jdwilliams
Error Message: na
Affected People: 1
Contact Number: 3521
"
INC0723181,Customer Number P4797665,P,
INC0721371,Delivery Charges being applied on order,P,"Issue: Sefali reported that a customer has a Subscription of 1 year delivery that was purchased on 11 Dec 2018 and the customer's last order was charged for delivery. Please assist 

Ext: 3657

Customer Name: Sally Webster
Customer Number: S1175008
Account With: Fashion World

Order Number: 1243454
Order date: 24 April 2019"
INC0720249,Staff Accounts,R,
INC0720196,Delivery Pass needs removing on Staff Accounts orders SUPRA DBA req,R,Please can the Delivery Pass be removed from the following Staff Accounts? Thank you
INC0719746,O6858948 - Delivery Subscription,P,Customer is still being charged for delivery even though she took the sub out on 17th Feb 2019.  Please resolve
INC0719310,Customer being charged for delivery despite having Delivery Pass,P,"Issue: Customer being charged for delivery despite having Delivery Pass
Customer Number: R6931329
Website: Fashion World
Purchased Delivery Pass valid for 26th July 2019
Order Number: 5245286
ext: 3657"
INC0719234,Delivery Charges Being Applied,P,"Issue: Sefali reported that a customer bought a delivery pass & he is still being charged for delivery. Please look into the issue
Ext: 3657

Delivery Pass purchased on 18 Jul 2019

Customer Number: X3261829
Account With: Fashion World

Order Number: 4688970
Order Number: 5163968"
INC0719226,Delivery sub - Simply Be.,P,
INC0718439,Delivery subscription not working.,P,"Short Description: Delivery subscription not working.
Fault: Salama Rossouw called in to report that a customer bought delivery subscription but whenever she is trying to order it is asking her to pay for the delivery charges. Kindly check for it. 
Error Message: NA
Affected People: 1
Manager Contact Number: 0214080223
Customer Number: P0253400
Website: Simply be"
INC0718333,Delivery supp customer number O3133721,P,"
From: Carol Gale <Carol.Gale@nbrown.co.uk>
Sent: 07 August 2019 02:45 PM
To: Serviceline <serviceline@jdwilliams.co.uk>
Subject: Delivery supp customer number O3133721
 
hi, could you please check this account. customer has paid del supp, and is still being charged del on orders. 


please can you check if this has been activated. 


thank you


carol"
INC0717983,getting charges for delivery,P,"Short Description: Arron reported that a customer bought free delivery subscription for year in January but now she is getting delivery charges for every order . 
Affected People :  1
Contact Number: 3643
Customer no- Z0202372

Website- JDwilliams 
"
INC0717295,Customer is being charged for delivery even though he has delivery pass,P,"Issue: Shamim called in to report that a Customer is being charged for delivery even though he has delivery pass. Kindly assist 
Customer Account number: K1866299
User Contact: 3620
Website: Maristo 
Order number: 5284359          
Item number: WR005SV , BK361SV, FK289SV
Order placing date: 5:10 AM today "
INC0715869,Shipping Charges being applied after subscription,P,"Issue: Imran reported that a customer has subscription for Free Shipping purchased which on 9 April 2019. She is still is being charged for shipping on her orders. Can you please look into the issue.
Ext: 3620

Customer Name: Mrs Louise Bodles
Customer Number: F7886061
Account With: Simply Be"
INC0715740,DELIVERY PASS,P,
INC0715017,Delivery subscription code not working for customer.,P,"Short Description: Delivery subscription code not working for customer.
Fault: Umar Anwar called in to report that the customer purchased the subscription on 23rd of April for the delivery to be free. But every time she orders , her orders are being applied with the delivery charges. Kindly check for it. Umar also tried to place future orders for her but still the charges is being applied on it.
Error Message: NA
Affected People: 1
Manager Contact Number: 3620
Customer Number: F0533791
Order Number: 2719707
Order Placing Date:
Item Number: RV139fg associated with the delivery subscription.
Website: JD Williams"
INC0714285,Customer getting charged for delivery even after buying Delivery subscription,P,"Fault: Zoe called in to report that a Customer purchased delivery subscription on 20th june , Butwhen he ordered on  22 june, 23 june, 25 july everytime it is charging for delivery . Kindly assist 

Customer Account number: Z4291383
User Contact: 3677
Website: JD Williams 

Delivery subscription Order number: 3496832  
Delivery Charged Order number:     4803913
"
INC0713066,Delivery pass needs removing on Staff Accounts. SUPRA DBA Req.,R,Please can the delivery pass be removed from the attached Staff Accounts. Thanks.
INC0710531,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0710281,Y8816118 Delivery Pass,P,Customer is still being charged delivery even though she took out Delivery Sub on 23.06.19. Please resolve
INC0709599,Customer unable to add delivery pass to account.,P,"Arron reported that the customer purchased a delivery pass for 995 pounds on 30th June, which was valid for a year.
But after that when she placed the orders, every time a delivery charge was made on the order.

The delivery pass was then refunded to the customer by the advisor. But now the customer is trying to add the delivery pass again, it says she already has a delivery pass added. Please assist.

customer no: z0930725
customer name: miss Tracy Smith
website: jdwilliams
Contact: 3521"
INC0709078,P6338963 - Delivery Pass,P,Cust keeps getting charged del even though she took out pass on 7.4.19.Please resolve for cust
INC0709013,D8905441 - Delivery Pass,P,Customer took out pass on 22.09.18 but is still being charged delivery.  Please resolve for cust
INC0708527,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req.,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0707389,Delivery subscription not active.,P,"Customer purchased delivery subscription 19/04/19, still being charged for delivery. Please activate delivery subscription on account C6382294,thanks! "
INC0707220,free delivery subscription not working,P,"Short Description: Free delivery subscription not working.
Diagnosis: Sefali called in to report that the free delivery subscription is not working for the customer, The customer has 1 year free delivery subscription but she is still getting charged for it. Please assist. 
Customer Id: F6964331
Account: jdwilliams
Error Message: na
Affected People: 1
Contact Number: 3643"
INC0706882,Delivery subscription not active.,P,"Customer purchased annual delivery subscription 03/02/19 on account J2548311, still being charged for delivery. Please activate delivery subscription. Thanks! "
INC0706806,Delievry pass is not getting applied,P,"Sefali called and reported that a customer added delivery pass offer on 4th nov, 2018 which is valid for 1 year, but he is still getting charged for delivery on any order. Kindly Assist.
Customer No;  A0207133
Customer Name: Julian Bell-Robert
Website: Jacamo
Contact No: 3617 (Manager's)"
INC0706029,Deliver pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0705152,DELIVERY SUB,R,
