class,desc,inc_num,short_des
P,"angela called in to report that one of the customer is getting charged for delivery despite taking the delivery subscription
please assist
subscription taken--995 pounds
customer number--l9609774
website--jdwilliams
contact number--3544",INC0775606,customer account issue
R,please can the delivery pass be removed from the attached staff accounts?thank you,INC0775066,delivery pass needs removing on staff accounts supra dba req
P,"fault : jean called in to report that a customer has bought delivery subscription but still being charged for delivery.kindly assist.
purchasing date : 28th july 2019
customer number :p9955249
order number : 1613277, 1022488, 9903921, 9418300, 8004821
browser :safari
device : ipad pro
contact : 3657",INC0774907,customer being chargd for delivery.
P,"fault:- nikitha called in and reported an issue that one of her customer has the free delivery subscriptions but whenever customer is placing the order it is charging customer for delivery.customer have tried in different browser but still same problem.kindly assist.
customer account number:- t3535222
",INC0774806,issue with delivery subscriptions
P,"
short description:lorraine called in to report that the customer bought a delivery pass 
-but still when customer placed an order he is been charged with the delivery charges 

order no.: 6674480

contact number: 3620

customer id r9383707

website simply be

date of purchase :13th sept 2019
date of charges flashing on her account  : 15th sept 2019
validity :14th sept 2020",INC0774488,customer charged even after the delivery pass
P,"fault : moegamat called in to report that a customers free delivery subscription is active still the customer is getting charged for delivery.kindly check on the account. 
customer number :j6231278
website :simply be
order number : 1168655
browser :google chrome
",INC0772295,free delivery subscription issue.
P,"issue: she is getting charged for posting even though paid yearly subscription for 999/-.
customer number: z3052559
website:simple be
ext: 3620",INC0772073,getting charged even after getting yearly subscription.
R,please can the delivery pass be removed form the attached staff accounts?thanks!,INC0772046,delivery pass needs removing on staff accounts orders supra dba req
P,"fault : david called in to report that a customer has bought delivery subscription but every time she orders something, it charges her for the delivery.kindly check o it. 
customer number :g1042075
date of buying :2nd  november 2019
date of expiry :1st november 2020
order number : 8496797
contact : 3506",INC0771803,delivery subscription issue
R,please can you remove the delivery pass from staff  account u7929670.,INC0770868,please remove delivery subscription
P,"issue: chris ritchie called in to report that customer had done a subscription on her account 12 months back and unsubscribed itbut still she is getting charged for every month i.e., 995 pounds
item number: rv139fn
customer number: g5159819
contact number: 3913
website: jdwilliams",INC0770697,customer is getting charged every month for unsubscription of services
P,"short description:  louise reported that a customers has purchased the delivery subscription of 9.95 pound but she is still getting charged for every delivery  of order she places.  
error message: na
affected people: 1
contact number:  3620
customer no- g4617317

website- marisota 
",INC0768878,getting charged for delivery
P,"jacqueline reported that the delivery subscription was added to the customer's account on 10th nov, 2019.but even after that the customer is being charged for the items purchased.please assist.
order :rv139dm
customer : v0335262
website: simplybe
contact: 3537",INC0768413,customer charged for delivery.
P,"ashley reported that the customer has a delivery subscription purchased, for which she has free delivery on the next day deliveries for the orders.
but while placing orders, she is still charged for next day delivery, or even the standard delivery.please check.
orderno: 0992826 
customerno: k8301239
website: fashion world
contact: 3567",INC0768271,customer charged for next day delivery
R,please can the delivery pass be removed from the attached staff accounts?thanks!,INC0768067,delivery pass needs removing on staff accounts orders supra dba req.
R,please can the delivery pass be removed from the attached staff accounts?thank you,INC0764626,delivery pass needs removing on staff accounts orders supra dba req
R,"cc:claire wrigley <claire.wrigley@nbrown.co.uk>
hi 

please can you remove the delivery pass from the following staff accounts, as they are not eligible to have this product.


h0500353
s2269811
a4243151
x7080185
i9879781
d6348484
z6275452
q0912991
thanks
anita coles - l450

proactive notificaiton team

team manager - claire wrigley",INC0762390,delivery pass
P,"issue: customer being charged for delivery, even when they have the delivery pass, have refunded the previous order but the new order has been placed and wanted to check before it comes through that delivery won't be charged. 
customer number:g1568370
website:simple be
order number: 9303015
ext: 3620",INC0760779,customer being charged for delivery
R,"pnt work requests
fri 29/11/2019 02:40 pm
hi

please can you cancel the delivery pass on the following accounts, as these are staff accounts and are not eligible for this product;

g7901072
q7573503
s0805353
h3582621
o3428892
a7928800

thanks for your help.

anita coles - l450

team manager  - claire wrigley

proactive notification team
",INC0759452,delivery pass
P,"short description: simon called in to report that the customer bought a delivery passage for 9 pounds but when she ordered she is not able to use that passage and whatever she is ordering the total amount includes the delivery charges as well which should not be applied once she has the delivery passage  
error : there is no delivery passage option showing on her payment page 
affected people:  1
order no.: 9373849
diagnosis :simon called in instantly once he analysed the whole scenario 
contact number: 3544
customerid : n6302564
website : jdwilliams 
date the customer bought the delivery passage  :10th november , 
placed order on : 22nd nov 
delivery date  : 23rd nov",INC0758972,customer bought delivery passage but still paying for the delivery
P,"rebecca connolly
wed 27/11/2019 01:05 pm
hello, i have a customer who purchased the delivery subscription on the 27th october.

this has not been activated and the customer is still being charged for delivery.

her customer account number is j8551415.

thanks

rebecca connolly

proactive notification team

",INC0758467,delivery subscription
P,"fault : sandra  called in to report that a customer bought a delivery subscription for standard delivery but still she is being charged every time for the delivery.below mentioned are all the ordes which are placed after she bought the subscription for free delivery.kindly check and refund the extra amount that she has been charged. 
customer number : d0345138
order  number :  8942149, 9030040, 9335621, 9522137
purchase date : 29th of september
contact : 3657, 3506",INC0758018,customer being charged for delivery.
P,"fault:- ana called in and reported an issue that one of her customer is already paid for free delivery subscriptions but customer still getting charged for delivery kindly assist
customer account number:- y9196549
ana contact:- 3544
websites:- jacamo
order number:- 89919370
",INC0754616,issue with delivery subscription
P,"fault : sabina khan called in to report that a customer has bought delivery subscription of standard delivery fr next day but still the customer is getting charged for the delivery.kindly assist.
purchase date : 10th of november, 2019
expiry date : 10th of november, 2020
customer number : f9377454
website :jacamo
contact : 3913",INC0754200,delivery subscription issue.
P,"orwa <olivia.orwa@nbrown.co.uk>
cc:claire wrigley <claire.wrigley@nbrown.co.uk>; lesley veevers <lesley.veevers@nbrown.co.uk>
q7788734
 
hi all,

please can you help me.the customer is not able to use the annual delivery pass purchased in april.please can you advise me whether this is active as the customer is having to still pay for her delivery charges.

kind regards
liv

olivia orwa
global customer care team

 

reception: +44 (0)161236 8256

 








manchester
www.nbrown.co.uk

 

 

n brown is a top 10 uk clothing & footwear digital retailer.our key retail brands are jd williams,simply be, jacamo and ambrose wilson.

 

",INC0754000,q7788734
P,"ann called in to report that one of the customer is unable to apply the delivery pass purchased on 18th january and valid for 1 year,when she trying to place the order the delivery pass feature doesn't work
delivery pass purchased for 995 pounds
customer number--k1081801
website--jdwilliams
contact number--3657",INC0753328,delivery pass error
P,customer took out del sub on 10.02.19 but is still being charged delivery.please resolve.,INC0753268,delivery sub - l0413477
P,hi customer is still getting charged for delivery even though she took pass out on 29.09.19.  if you could resolve please.  thanks peter,INC0752412,n2478023 - delivery pass
P,"fault : denise ford called in to report that a customer is trying to place an order through her account and she has purchased the delivery subscription for free delivery but whenever she tries to place an order it asks her to pay for delivery.
customer number : a9143198
date of purchase : 29th of september.
website :jd williams
contact : 3553",INC0751014,delivery subscription not working
P,"fiaz called in to report that a customer has purchased one year delivery subscription applied on mainframe , but still getting charges on every delivery .kindly assist
date of delivery pass applied: 27th july
customerno:p7958236
website: jdwilliams
contact no: 3913",INC0749923,customer being charged after having one year delivery subscription
P,"sefali called and reported that a customer purchased a free delivery subscription for an year for his account but he is still getting charges on every delivery.kindly check and assist.
amount paid for subscription: £9.95
customerno:u0735136
website:simply be
contact no: 3657
",INC0749486,customer purchase free delivery subscription but still getting delivery charges
P,"customer purchased 12 month delivery subscription rv139 17/02/19, still being charged for delivery.please can you activate free delivery.thanks!",INC0747691,"customer being charged for delivery, previously purchased delivery subscription."
R,please can the delivery subscription be removed from the attached staff accounts.thanks!,INC0746218,delivery pass needs removing on staff accounts supra dba req
R,please can the delivery pass be removed from the attached staff accounts?thanks!,INC0743416,delivery pass needs removing on staff accounts supra dba req
R,please can the delivery pass be removed from the attached staff accounts?thank you,INC0741508,delivery pass needs removing on staff accounts orders supra dba req
P,"glen reported that the customer purchased the free delivery pass in 12th may,2019but she is still being charged 3.50 pound for the orders.kindly assist. 
customerno: b7683499
website: jdwilliams
contact: 3544",INC0739888,customer charged for delivery
P,"short description: bernie  reported that the customer is getting charged even when she has free delivery subscription. 
errormessage:na
affected people:1
contact number:  3620
customer no- y3981889

website- jdwilliams",INC0739042,delivery subscription issue
P,"issue:customer is being charged for delivery even if they have delivery pass so kindly check and refund if it hadn't be refunded yet.
customer number: z0209915
website: jd williams
order number: 7401722
ext: 3602",INC0738820,customer is being charged for delivery even if they have delivery pass
P,"fault : piara begum called in to report that a customer has re-bought a delivery subscription which was bought on 15th of september but when she is trying to place order it is charging her  for he delivery.kindly check on it.
customer number  :s0715910
website : simply be
contact : 3829",INC0738800,charged for delivery.
E,"short description: unable to renew free delivery subscription
diagnosis (application session restarted before raising incidents) :customer unable to renew the free delivery subscription, and also unable to edit the address for the same.
contact number: 3913
customer:l1855482
website: jdwilliams",INC0736368,unable to renew free delivery subscription
R,please can the delivery pass be removed from the attached staff accounts.thank you!,INC0736135,delivery pass needs removing on staff accounts orders supra dba req
P,"p7228536
 
hi

the above customer can not add the delivery subscription to her account.  i have looked at the account today to remove any delivery subscription and currently there is none.previously in june, we have requested that this is activated and it has not been.please can you look into this and advise me further.

regards
lesley


lesley veevers
global customer care

 



",INC0734757,p7228536
R,hi please can the delivery pass be removed from the attached staff accounts?thank you!,INC0733776,delivery pass needs removing on staff accounts orders supra dba req.
P,"short description: delivery pass not applicable
diagnosis (application session restarted before raising incidents) : customer bought a delivery pass.but when buying anything, customer is still getting charged for delivery.kindly assist.
contact number: 3829
customer number: z7439325
delivery pass: rv139fn
website: jdwilliams",INC0732528,delivery pass not applicable
R,please can the delivery pass be removed from the attached staff accounts?thank you,INC0731358,delivery pass needs removing on staff accounts orders supra dba req
P,"fault:- stewart called in and reported that stewart wants to reinstated the delivery supplement on customer's account so that customer will not have to pay any delivery charges.kindly assist. 
customer account number:- c9455058
stewart's manager contact:- 3938
websites:- jd williams
",INC0730720,reinstated the delivery supplement
P,"short description: free delivery promo-code not applicable
errormessage: na
affected people: 1
diagnosis (application session restarted before raising incidents) : customer bought a free delivery promo-code on 14th july to make the delivery charges free of cost.but the delivery charges are still applicable.kindly assist.
contact number: 3603
customer number: t2546877
website: jdwilliams
promo code: rv139
promo code buy date: 14th of july",INC0729597,free delivery promo-code not applicable
P,"short description: delivery subscription not working
diagnosis: karen called in to report that  a delivery subscription is not working for a customer, the customer has delivery subscription of one yearbut she is  still getting charged for every order.please assist.  
customerid: f6892712
account: jdwillims
error message: na
affected people: 1
contact number: 3913",INC0729467,delivery subscription not working
P,"customer o6947626 purchased delivery aubscription rv139fm 28/07/19.she is still being charged deliver, please can you activate delivery subscription.thank you!",INC0729309,customer being charged for delivery
R,please can the delivery pass be removed from the attached staff accounts.thank you!,INC0729226,delivery pass needs removing on staff accounts orders supra dba req
P,"aida reported that the customer has a free delivery subscription which is valid for one year, but she is still being charged for each delivery of the orders.please check.
customerno: u1042533
date of buying subscription: 28th jan, 2019
website: simplybe
contact: 3913",INC0726289,customer charged for delivery of orders
P,"chris reported that the customer purchased a free delivery pass for 9.99 pounds, but every time she places an order it charges her for the delivery.
the advisors have to then refund the charged amount everytime.kindly look into it.
date of purchase: over 6 months now.
customer no: u9051790
website: simplybe
contact: 3592",INC0725967,customer charged even after free delivery pass
P,"customers number: q8800140
website: jd williams
issue: customer have already paid delivery pass on13 th august.it should 12 month free delivery.she placed prder on 15th august and was charged postage.she has refunded her but now
ext: 3603",INC0725451,customer paid for postage even after getting free delivery pass.
P,"sharon reported that one of the customer got a delivery pass for one year on 17th august but every time she's trying to place an order she's getting charged for it
customer number--s0114453
website--simplybe
",INC0725313,getting charged for delivery even with delivery pass
P,"short description: issue with delivery subscription
diagnosis: arron called in to report that for a customer her free delivery subscription is not working, she was getting charged for delivery so the team canceled it at their end to enable it again but it did not got cancelled at customers end and its not working as well.please assist. 
customerid: j7184614
account: jdwilliams
error message: na
affected people: 1
contact number: 3521
",INC0724161,issue with delivery subscription
P,"issue:sefali reported that a customer has a subscription of 1 year delivery that was purchased on 11 dec 2018 and the customer's last order was charged for delivery.please assist 

ext: 3657

customer name: sally webster
customer number:s1175008
accountwith: fashion world

order number: 1243454
order date: 24 april 2019",INC0721371,delivery charges being applied on order
R,please can the delivery pass be removed from the following staff accounts?thank you,INC0720196,delivery pass needs removing on staff accounts orders supra dba req
P,customer is still being charged for delivery even though she took the sub out on 17th feb 2019.  please resolve,INC0719746,o6858948 - delivery subscription
P,"issue: customer being charged for delivery despite having delivery pass
customer number: r6931329
website: fashion world
purchased delivery pass valid for 26th july 2019
order number: 5245286
ext: 3657",INC0719310,customer being charged for delivery despite having delivery pass
P,"issue:sefali reported that a customer bought a delivery pass & he is still being charged for delivery.please look into the issue
ext: 3657

delivery pass purchased on 18 jul 2019

customer number: x3261829
accountwith: fashion world

order number: 4688970
order number: 5163968",INC0719234,delivery charges being applied
P,"short description: delivery subscription not working.
fault: salama rossouw called in to report that a customer bought delivery subscription but whenever she is trying to order it is asking her to pay for the delivery charges.kindly check for it. 
errormessage: na
affected people: 1
",INC0718439,delivery subscription not working.
P,"
o3133721
 
hi, could you please check this account.customer has paid del supp, and is still being charged del on orders. 


please can you check if this has been activated. 


thank you


carol",INC0718333,delivery supp customer number o3133721
P,"short description:arron reported that a customer bought free delivery subscription for year in januarybut now she is getting delivery charges for every order . 
affected people :  1
contact number: 3643
customer no- z0202372

website- jdwilliams 
",INC0717983,getting charges for delivery
P,"issue: shamim called in to report that a customer is being charged for delivery even though he has delivery pass.kindly assist 
customer account number: k1866299
user contact: 3620
website: maristo 
order number: 5284359          
item number: wr005sv , bk361sv, fk289sv
order placing date: 5:10 am today",INC0717295,customer is being charged for delivery even though he has delivery pass
P,"issue:imran reported that a customer has subscription for free shipping purchased which on 9 april 2019.she is still is being charged for shipping on her orders.can you please look into the issue.
ext: 3620

customer name: mrs louise bodles
customer number:f7886061
accountwith: simply be",INC0715869,shipping charges being applied after subscription
P,"short description: delivery subscription code not working for customer.
fault:umar anwar called in to report that the customer purchased the subscription on 23rd of april for the delivery to be free.but every time she orders , her orders are being applied with the delivery charges.kindly check for it.umar also tried to place future orders for herbut still the charges is being applied on it.
errormessage: na
affected people: 1
manager contact number: 3620
customer number: f0533791
order number: 2719707
order placing date:
item number:rv139fg associated with the delivery subscription.
website: jd williams",INC0715017,delivery subscription code not working for customer.
P,"fault: zoe called in to report that a customer purchased delivery subscription on 20th june ,butwhen he ordered on  22 june, 23 june, 25 july everytime it is charging for delivery .kindly assist 

customer account number: z4291383
user contact: 3677
website: jd williams 

delivery subscription order number: 3496832  
delivery charged order number:     4803913
",INC0714285,customer getting charged for delivery even after buying delivery subscription
R,please can the delivery pass be removed from the attached staff accounts.thanks.,INC0713066,delivery pass needs removing on staff accounts. supra dba req.
R,please can the delivery pass be removed from the attached staff accounts?thanks!,INC0710531,delivery pass needs removing on staff accounts orders supra dba req
P,customer is still being charged delivery even though she took out delivery sub on 23.06.19.please resolve,INC0710281,y8816118 delivery pass
P,"arron reported that the customer purchased a delivery pass for 995 pounds on 30th june, which was valid for a year.
but after that when she placed the orders, every time a delivery charge was made on the order.

the delivery pass was then refunded to the customer by the advisor.but now the customer is trying to add the delivery pass again, it says she already has a delivery pass added.please assist.

customerno: z0930725
customer name: miss tracy smith
website: jdwilliams
contact: 3521",INC0709599,customer unable to add delivery pass to account.
P,cust keeps getting charged del even though she took out pass on 7.4.19.please resolve for cust,INC0709078,p6338963 - delivery pass
P,customer took out pass on 22.09.18 but is still being charged delivery.  please resolve for cust,INC0709013,d8905441 - delivery pass
R,please can the delivery pass be removed from the attached staff accounts?thanks!,INC0708527,delivery pass needs removing on staff accounts orders supra dba req.
P,"customer purchased delivery subscription 19/04/19, still being charged for delivery.please activate delivery subscription on account c6382294,thanks!",INC0707389,delivery subscription not active.
P,"short description: free delivery subscription not working.
diagnosis: sefali called in to report that the free delivery subscription is not working for the customer, the customer has 1 year free delivery subscriptionbut she is still getting charged for it.please assist. 
customerid: f6964331
account: jdwilliams
error message: na
affected people: 1
contact number: 3643",INC0707220,free delivery subscription not working
P,"customer purchased annual delivery subscription 03/02/19 on account j2548311, still being charged for delivery.please activate delivery subscription.thanks!",INC0706882,delivery subscription not active.
P,"sefali called and reported that a customer added delivery pass offer on 4th nov, 2018 which is valid for 1 year, but he is still getting charged for delivery on any order.kindly assist.
customer no;  a0207133
customer name: julian bell-robert
website:jacamo
contactno: 3617 (manager's)",INC0706806,delievry pass is not getting applied
R,please can the delivery pass be removed from the attached staff accounts?thanks!,INC0706029,deliver pass needs removing on staff accounts orders supra dba req
P,"issue: justin called and reported that a customer has delivery supplements that was added on 24th march but still being charged for delivery.wants to get checked why she is being charged.
customer number:q4086738
website: jd williams
",INC0704591,customer charged for delivery after getting delivery supplements
R,please can the delivery pass be removed from the attached staff accounts?thanks!,INC0703813,delivery pass needs removing on staff accounts orders supra dba req.
R,please can the delivery pass be removed from the attached staff accounts?thanks!,INC0701508,delivery pass needs removing on staff accounts orders supra dba req
P,"please can you activate the delivery subscription on account n4113654, customer still being charged for delivery.thanks!",INC0700707,delivery subscription not active.
R,please can the delivery pss be removed from the attached staff accounts?thanks!,INC0699015,delivery pass needs removing on staff accounts orders supra dba req
P,"short description: customer free delivery subscription not working
diagnosis: roger called in to report that a customer has free delivery subsription for her two accounts jdwilliams and simplybe and still she is being charged for the delivery.please assist.
customerid: y9417469- simplybe
                      g8721450- jdwilliams
customer name: karen wilson
error message: na
affected people: 1
contact number: 3913",INC0697308,customer free delivery subscription not working
R,please can the delivery pass be removed from the  attached staff accounts?thanks!,INC0696757,delivery pass needs removing on staff accounts orders supra dba req
R,please can the delivery pass be removed from the attached staff accounts?thanks!,INC0692735,delivery pass needs removing on staff accounts orders supra dba req.
P,"please can you activate annual delivery pass on accounts0609159.customer still being charged for delivery, rv139 purchased 05/12/2018.thank you! 
",INC0691642,annual delivery pass not active.
P,"please can you activate annual delivery pass on account k2126227, purchased 14/04/2019.customer still being charged for delivery.thanks!
                                              ",INC0690385,annual delivery pass not active on account.
R,"
a4241648
 
hi


this is a new staff account.


it is showing as free delivery.


can this be removed please.


thanks

chris",INC0690294,a4241648
R,please can the delivery pass be removed from the attached staff accounts?thanks!,INC0688465,delivery pass needs removing on staff accounts supra dba req
P,please can you ensure the annual delivery pass rv139fg ordered 06.01.19 is fully active on accountu7989543.customer still being charged for delivery?thanks!,INC0687908,annual delivery pass service not active on account.
P,delivery pass was taken out on 19.11.18 but customer is still being charged delivery.  please rectify pjj475,INC0687063,delivery pass - s6962411
P,"cc: claire wrigley
re; f9110073/ delivery sub not working
 
hi,


please can you check this customers annual delivery subscription as they are still being charged delivery.- purchased 20/01/2018.


kind regards

liv






oliviaorwa | global customer care | nbrown

www.nbrown.co.uk


",INC0686661,f9110073/ delivery sub not working
R,please can you cancel the annual delivery subscription on account f1205526.thanks!,INC0685865,customer request annual delivery pass cancellation.
P,"
cc: claire wrigley
hi,


the delivery subscription isn't active as it is charging the customer when he is placing the order.


please can you look into this for me, i tried to cancel this and get him to add it to his account but it is still showing active.


regards

liv


oliviaorwa | global customer care | nbrown

www.nbrown.co.uk


",INC0684861,delivery subscription
R,please can you remove the delivery pass from the attached staff accounts?thank you!,INC0684243,delivery pass needs removing on staff accounts supra dba req
R,"hi 


can you please remove the delivery pass on the following account, as staff accounts are not eligible for this product.


a4252100


thanks

anita coles l450


team manager 

claire wrigley
",INC0682068,yearly delivery pass
P,"glen edwards called in that he has some subscription issue .
customer account number: p8484252
 customer name:    bara aummer 
  user contact:   3603   
 website:   ambrose wilson  ",INC0681626,websites - issues
P,"fault:- sefali called in and reported that her customer margaret purchased delivery pass in nov 2018 so she will get free delivery till nov 2019 but whenever margaret placing any order it costs her delivery charges.
customer account number:- g8709490
customer name:- margaret hilton
",INC0681255,issue with delivery charges
P,"short description:marie reported that the customer has purchased the delivery supplement but every time she orders its still charging her 6.50 pound.kindly assist. 
errormessage: na
affected people:1
contact number: 3553
customer no- k5215876

website- jdwilliams
",INC0680924,getting charged for delivery
P,"short description: delivery charges being charged even after purchasing the subscription. 
fault:sandra hill called in to report that a customer has bought the delivery subscription pass but still she is being charged for the delivery.customrer has purchased the delivery subscription on 17th of february and since then she is being charged.kindly check on it. 
errormessage: na
affected people: 1
manager contact number: 3553, 3913.
customer number:h3021610
customer name: lynda busby
order number: 9351253, 0203284, 0296015, 0800560
website: jdwillimas",INC0680511,delivery charges being charged even after purchasing the subscription.
P,customer took out delivery subscription on 24.0319 but is still being charged delivery.  please resolve.,INC0679128,j4849299 - delivery subscription
P,customer took out delivery sub on 3rd feb 2019 yet is still being charged for delivery.  please resolve,INC0679084,d9615281 - delivery subscription
R,"hi 


can you please remove the delivery passes from the following accounts, as staff are not eligible for this on their accounts:


a4252783
d6455579
n8554386
h3583052
h3586104
a4244252
a4241811
q0914740
h1845169
o6374787
h1838063
a4242513
x7271579
r8878740
i1684342


thanks

anita coles  - l450


team manager - claire wrigley
",INC0678709,staff delivery passes
P,"fault: monika called in to report that a customer has purchased delivery pass on 9 march order no- 9610285 but still she has been charged for delivery for order no - 0585457 on 6 april.kindly assist

customer account number:j5815684
customer name: ms. bridget stroud
user contact: 3913
website: fashion world
order number: on 6 april 0585457 charged her for  delivery          
",INC0678481,customer charged for delivery whereas she has delivery pass
P,"short description: delivery charge taken from customer even after having subscription. 
fault: sandra hill  called in to report that a customer purchased the delivery subscription on 9th of december but still after that she is getting charged for all the orders she is purchasing.kindly check on it. 
errormessage: na
affected people: 1
manager contact number: 3553
customer number: z9218395
customer name: catherine russ
order number: 6561768, 6580716, 6672030, 7001880, 7002259, 7706800, 8657244, 8670465, 9228799, 9736330, 9736331, 9817748, 0345189, 0430614.
website: jdwilliams",INC0676846,delivery charge taken from customer even after having subscription.
P,"short description: charged for delivery even after delivery pass purchased
issue:monika called to report a customer's issue as she purchased delivery pass on 24 march and was charged for the order placed on 29th march.monika said that she has been refunded for that delivery charge but she wants to make sure this doesn't happen again in future.kindly check.
customer number:i2065194
customer name: barbara mee
website: jd williams
order number: 0317701
ext: 3913",INC0676211,charged for delivery even after delivery pass purchased
P,"hi, 


please can you look into the following delivery sub offer for this customer g6691908.they purchased it 02/02/2019and it is not working. 



they had one on the account beforeand it was due to expireso this is the new purchase for the year. 







thank you

angela nixon 384a

team manager; claire wriggley ext 3651





",INC0675615,delivery sub offer
P,customer took delivery sub out on 16/12/18 yet is still being charged delivery on every order.  please resolve for customer.,INC0674542,delivery subscription - f6552545
